ActID,ActionID,EmpID,EffectiveDt
1,10,1,01/Jan/2015
2,10,2,01/Jan/2015
3,10,3,06/Oct/2015
4,10,4,01/Jan/2015
5,10,5,22/May/2015
6,10,6,11/Jul/2015
7,10,7,04/Dec/2015
8,10,8,01/Jan/2015
9,10,9,01/Jan/2015
10,10,10,09/May/2015
11,10,11,11/May/2015
12,10,12,24/Dec/2015
13,10,13,01/Jan/2015
14,10,14,26/Jul/2015
15,10,15,13/Mar/2016
16,10,16,01/Jan/2015
17,10,17,08/Oct/2015
18,10,18,21/Mar/2015
19,10,19,01/Jan/2015
20,10,20,01/Jan/2015
21,10,21,29/Sep/2015
22,10,22,03/May/2016
23,10,23,01/Jan/2015
24,10,24,05/Feb/2015
25,10,25,19/Dec/2015
26,10,26,01/Jan/2015
27,10,27,04/Sep/2015
28,10,28,27/Sep/2015
29,10,29,21/Apr/2015
30,10,30,02/Feb/2015
31,10,31,01/Jan/2015
32,10,32,27/Mar/2015
33,10,33,17/Oct/2015
34,10,34,01/Jan/2015
35,10,35,01/Jan/2015
36,10,36,04/Jun/2015
37,10,37,09/May/2017
38,10,38,01/Jan/2016
39,10,39,01/Jan/2015
40,10,40,11/May/2015
41,10,41,21/Mar/2016
42,10,42,01/Jan/2015
43,10,43,21/Jul/2015
44,10,44,01/Jan/2015
45,10,45,01/Jan/2015
46,10,46,01/Jan/2015
47,10,47,01/Jan/2015
48,10,48,21/Jun/2016
49,10,49,01/Jan/2015
50,10,50,10/Jul/2016
51,10,51,03/May/2015
52,10,52,21/Feb/2015
53,10,53,01/Jan/2015
54,10,54,01/Jan/2015
55,10,55,01/Jan/2015
56,10,56,24/Jul/2015
57,10,57,08/Feb/2015
58,10,58,01/Jan/2015
59,10,59,15/Jan/2015
60,10,60,01/Jan/2015
61,10,61,06/Sep/2015
62,10,62,01/Jan/2015
63,10,63,01/Jan/2015
64,10,64,01/Jan/2015
65,10,65,27/Mar/2015
66,10,66,08/Aug/2016
67,10,67,14/Apr/2015
68,10,68,31/May/2016
69,10,69,03/Aug/2015
70,10,70,21/Feb/2016
71,10,71,09/Sep/2015
72,10,72,13/Sep/2015
73,10,73,26/Oct/2015
74,10,74,14/Oct/2015
75,10,75,01/Jan/2015
76,10,76,01/Jan/2015
77,10,77,01/Jan/2015
78,10,78,01/Jan/2015
79,10,79,12/Jan/2015
80,10,80,20/Jan/2015
81,10,81,01/Jan/2015
82,10,82,01/Jan/2015
83,10,83,01/Jan/2015
84,10,84,14/Sep/2015
85,10,85,01/Jan/2015
86,10,86,05/Dec/2016
87,10,87,09/Apr/2015
88,10,88,05/Oct/2015
89,10,89,13/May/2015
90,10,90,01/Jan/2015
91,10,91,11/Jun/2015
92,10,92,01/Jan/2015
93,10,93,01/Jan/2015
94,10,94,01/Jan/2015
95,10,95,01/Jan/2015
96,10,96,04/Oct/2015
97,10,97,23/Oct/2015
98,10,98,03/May/2015
99,10,99,01/Jan/2015
100,10,100,01/Jan/2015
101,10,101,03/Jan/2016
102,10,102,29/Oct/2015
103,10,103,12/Nov/2015
104,10,104,25/Sep/2015
105,10,105,01/Jan/2015
106,10,106,01/Jan/2015
107,10,107,01/Jan/2015
108,10,108,25/Jan/2015
109,10,109,01/Jan/2015
110,10,110,01/Jan/2015
111,10,111,01/Jan/2015
112,10,112,01/Jan/2015
113,10,113,16/Oct/2015
114,10,114,01/Jan/2015
115,10,115,09/May/2015
116,10,116,18/Jan/2016
117,10,117,15/Feb/2015
118,10,118,01/Jan/2015
119,10,119,01/Jan/2015
120,10,120,14/Aug/2015
121,10,121,01/Jan/2015
122,10,122,01/Jan/2015
123,10,123,01/Jan/2015
124,10,124,01/Jan/2015
125,10,125,01/Jan/2015
126,10,126,06/May/2015
127,10,127,10/Mar/2016
128,10,128,01/Jan/2015
129,10,129,01/Jan/2015
130,10,130,01/Jan/2015
131,10,131,01/Jan/2015
132,10,132,01/Jan/2015
133,10,133,01/Jan/2015
134,10,134,12/Apr/2015
135,10,135,01/Jan/2015
136,10,136,08/Jun/2015
137,10,137,02/Oct/2015
138,10,138,01/Jan/2015
139,10,139,01/Jan/2015
140,10,140,05/Feb/2015
141,10,141,01/Jan/2015
142,10,142,13/Jan/2015
143,10,143,13/Jul/2015
144,10,144,01/Jan/2015
145,10,145,05/Mar/2015
146,10,146,01/Jan/2015
147,10,147,01/Jan/2015
148,10,148,25/Dec/2015
149,10,149,01/Jan/2015
150,10,150,03/Apr/2015
151,10,151,01/Jan/2015
152,10,152,12/Mar/2015
153,10,153,01/Jan/2015
154,10,154,21/Dec/2016
155,10,155,01/Jan/2015
156,10,156,01/Jan/2015
157,10,157,01/Jan/2015
158,10,158,01/Jan/2015
159,10,159,13/Feb/2016
160,10,160,20/Jan/2015
161,10,161,01/Jan/2015
162,10,162,16/Jun/2015
163,10,163,01/Jan/2015
164,10,164,01/Jan/2015
165,10,165,01/Jan/2015
166,10,166,01/Jan/2015
167,10,167,01/Jan/2015
168,10,168,01/Jan/2015
169,10,169,15/Jan/2016
170,10,170,22/Jun/2015
171,10,171,30/Mar/2016
172,10,172,01/Jan/2015
173,10,173,27/Oct/2015
174,10,174,01/Jan/2015
175,10,175,01/Jan/2015
176,10,176,11/May/2015
177,10,177,27/Aug/2015
178,10,178,01/Jan/2015
179,10,179,01/Jan/2015
180,10,180,23/Jul/2015
181,10,181,01/Jan/2015
182,10,182,02/Sep/2015
183,10,183,01/Jan/2015
184,10,184,01/Jan/2015
185,10,185,01/Jan/2015
186,10,186,14/Apr/2015
187,10,187,01/Jan/2015
188,10,188,01/Jan/2015
189,10,189,01/Jan/2015
190,10,190,01/Jan/2015
191,10,191,01/Jan/2015
192,10,192,12/Aug/2015
193,10,193,09/Aug/2015
194,10,194,01/Jan/2015
195,10,195,06/Nov/2016
196,10,196,26/Jan/2016
197,10,197,16/Feb/2015
198,10,198,28/Apr/2016
199,10,199,01/Jan/2015
200,10,200,01/Jan/2015
201,10,201,01/Jan/2015
202,10,202,19/Sep/2015
203,10,203,19/May/2016
204,10,204,01/Jan/2015
205,10,205,25/Jun/2015
206,10,206,01/Jan/2015
207,10,207,01/Jan/2015
208,10,208,26/Oct/2015
209,10,209,01/Jan/2015
210,10,210,01/Jan/2015
211,10,211,12/Mar/2015
212,10,212,01/Jan/2015
213,10,213,04/Jan/2016
214,10,214,20/Oct/2015
215,10,215,20/Jul/2016
216,10,216,20/Jul/2016
217,10,217,14/Aug/2016
218,10,218,01/Jan/2015
219,10,219,01/Jan/2015
220,10,220,27/Dec/2015
221,10,221,01/Jan/2015
222,10,222,04/Sep/2015
223,10,223,01/Jan/2015
224,10,224,14/Dec/2015
225,10,225,01/Jan/2015
226,10,226,01/Jan/2015
227,10,227,01/Jan/2015
228,10,228,04/Mar/2015
229,10,229,01/Jan/2015
230,10,230,01/Jan/2015
231,10,231,29/May/2016
232,10,232,24/Jul/2015
233,10,233,01/Jan/2015
234,10,234,17/Aug/2015
235,10,235,01/Jan/2015
236,10,236,19/May/2016
237,10,237,28/Oct/2016
238,10,238,24/Oct/2016
239,10,239,19/May/2016
240,10,240,26/Dec/2015
241,10,241,01/Jan/2015
242,10,242,25/Aug/2015
243,10,243,01/Jan/2015
244,10,244,01/Jan/2015
245,10,245,04/Aug/2015
246,10,246,31/Jul/2015
247,10,247,01/Jan/2015
248,10,248,01/Jan/2015
249,10,249,01/Jan/2015
250,10,250,19/Feb/2015
251,10,251,01/Jan/2015
252,10,252,01/Jan/2015
253,10,253,07/Sep/2015
254,10,254,19/Apr/2016
255,10,255,01/Jan/2015
256,10,256,30/Nov/2015
257,10,257,09/May/2015
258,10,258,01/Jan/2015
259,10,259,01/Jan/2015
260,10,260,01/Jan/2015
261,10,261,01/Jan/2015
262,10,262,25/Sep/2015
263,10,263,11/Jun/2016
264,10,264,01/Jan/2015
265,10,265,01/Jan/2015
266,10,266,31/Mar/2015
267,10,267,01/Jan/2015
268,10,268,01/Jan/2015
269,10,269,10/May/2015
270,10,270,28/Feb/2015
271,10,271,26/Sep/2015
272,10,272,01/Oct/2015
273,10,273,12/Apr/2015
274,10,274,01/Jan/2015
275,10,275,01/Jan/2015
276,10,276,19/Jun/2015
277,10,277,01/Jun/2017
278,10,278,06/Feb/2015
279,10,279,22/Aug/2016
280,10,280,07/Feb/2016
281,10,281,01/Jan/2015
282,10,282,01/Feb/2016
283,10,283,13/Nov/2015
284,10,284,16/Mar/2017
285,10,285,23/Apr/2015
286,10,286,12/Aug/2016
287,10,287,29/Jul/2015
288,10,288,11/Jul/2015
289,10,289,01/Jan/2015
290,10,290,01/Jan/2015
291,10,291,01/Jan/2015
292,10,292,02/Jun/2015
293,10,293,01/Oct/2015
294,10,294,01/Jan/2015
295,10,295,01/Jan/2015
296,10,296,26/Jan/2015
297,10,297,01/Jan/2015
298,10,298,01/Jan/2015
299,10,299,01/Jan/2015
300,10,300,10/Sep/2016
301,10,301,12/Jul/2015
302,10,302,01/Jan/2015
303,10,303,01/Jan/2015
304,10,304,02/Apr/2015
305,10,305,01/Jan/2015
306,10,306,05/Nov/2015
307,10,307,01/Jan/2015
308,10,308,01/Jan/2015
309,10,309,24/May/2015
310,10,310,01/Jan/2015
311,10,311,01/Jan/2015
312,10,312,01/Jan/2015
313,10,313,01/Jan/2015
314,10,314,01/Jan/2015
315,10,315,08/Jul/2015
316,10,316,01/Jan/2015
317,10,317,02/Mar/2016
318,10,318,06/Mar/2016
319,10,319,27/May/2015
320,10,320,01/Jan/2015
321,10,321,01/Jan/2015
322,10,322,01/Jan/2015
323,10,323,10/Mar/2015
324,10,324,01/Jan/2015
325,10,325,01/May/2015
326,10,326,01/Jan/2015
327,10,327,01/Jan/2015
328,10,328,29/Sep/2015
329,10,329,01/Jan/2015
330,10,330,03/Jun/2017
331,10,331,11/May/2016
332,10,332,01/Jan/2015
333,10,333,01/Jan/2015
334,10,334,01/Jan/2015
335,10,335,18/May/2015
336,10,336,01/Jan/2015
337,10,337,01/Jan/2015
338,10,338,01/Jan/2015
339,10,339,20/Oct/2016
340,10,340,01/Jan/2015
341,10,341,15/Jul/2015
342,10,342,20/Jan/2016
343,10,343,21/Jan/2015
344,10,344,01/Jan/2015
345,10,345,03/Jan/2015
346,10,346,01/Jan/2015
347,10,347,31/Dec/2016
348,10,348,07/Jul/2015
349,10,349,26/Jan/2015
350,10,350,17/Jul/2015
351,10,351,04/Mar/2017
352,10,352,01/Jan/2015
353,10,353,01/Jan/2015
354,10,354,01/Jan/2015
355,10,355,01/Jan/2015
356,10,356,01/Jan/2015
357,10,357,25/Feb/2016
358,10,358,01/Jan/2015
359,10,359,01/Jan/2015
360,10,360,25/Apr/2016
361,10,361,11/Jan/2015
362,10,362,24/Jan/2015
363,10,363,21/Mar/2016
364,10,364,21/Feb/2015
365,10,365,24/Nov/2017
366,10,366,13/Jul/2015
367,10,367,11/Jun/2015
368,10,368,03/Jun/2016
369,10,369,05/May/2017
370,10,370,01/Jan/2015
371,10,371,01/Jan/2015
372,10,372,03/Jun/2015
373,10,373,01/Jan/2015
374,10,374,01/Jan/2015
375,10,375,01/Jan/2015
376,10,376,01/Jan/2015
377,10,377,01/Jan/2015
378,10,378,01/Jan/2015
379,10,379,20/May/2015
380,10,380,19/Mar/2016
381,10,381,03/Mar/2015
382,10,382,01/Jan/2015
383,10,383,16/Jul/2015
384,10,384,26/Jun/2015
385,10,385,01/Jan/2015
386,10,386,16/Mar/2016
387,10,387,01/Jan/2015
388,10,388,01/Jan/2015
389,10,389,12/Jan/2015
390,10,390,01/Jan/2015
391,10,391,17/Jan/2016
392,10,392,26/Jun/2016
393,10,393,01/Jan/2015
394,10,394,25/Aug/2016
395,10,395,01/Jan/2015
396,10,396,03/Jul/2015
397,10,397,01/Jan/2015
398,10,398,04/Feb/2016
399,10,399,01/Jan/2015
400,10,400,01/Jan/2015
401,10,401,10/Apr/2016
402,10,402,07/Mar/2015
403,10,403,01/Jan/2015
404,10,404,29/Sep/2015
405,10,405,31/Dec/2016
406,10,406,12/Aug/2015
407,10,407,29/May/2015
408,10,408,01/Jan/2015
409,10,409,01/Jan/2015
410,10,410,27/Sep/2017
411,10,411,22/Jul/2015
412,10,412,15/Nov/2016
413,10,413,10/Sep/2017
414,10,414,01/Jan/2015
415,10,415,25/Nov/2015
416,10,416,01/Jan/2015
417,10,417,01/Jan/2015
418,10,418,01/Jan/2015
419,10,419,02/May/2015
420,10,420,02/Feb/2015
421,10,421,06/Feb/2015
422,10,422,01/Jan/2015
423,10,423,18/Nov/2015
424,10,424,09/Jan/2016
425,10,425,22/Jan/2015
426,10,426,01/Jan/2015
427,10,427,01/Jan/2015
428,10,428,01/Aug/2015
429,10,429,26/Jan/2016
430,10,430,15/May/2016
431,10,431,28/Mar/2016
432,10,432,15/Nov/2015
433,10,433,01/Jan/2015
434,10,434,11/Apr/2015
435,10,435,01/Jan/2015
436,10,436,29/Sep/2015
437,10,437,01/Jan/2015
438,10,438,01/Jan/2015
439,10,439,01/Jan/2015
440,10,440,01/Jan/2015
441,10,441,20/Jan/2015
442,10,442,12/Sep/2015
443,10,443,01/Jan/2015
444,10,444,27/Jul/2016
445,10,445,26/Nov/2015
446,10,446,23/Jan/2015
447,10,447,01/Jan/2015
448,10,448,01/Jan/2015
449,10,449,28/Aug/2015
450,10,450,08/Oct/2016
451,10,451,01/Jan/2015
452,10,452,01/Jan/2015
453,10,453,23/Sep/2016
454,10,454,07/Aug/2015
455,10,455,01/Jan/2015
456,10,456,24/May/2015
457,10,457,01/Jan/2015
458,10,458,01/Jan/2015
459,10,459,01/Jan/2015
460,10,460,09/May/2015
461,10,461,22/Feb/2016
462,10,462,25/Jan/2016
463,10,463,01/Jan/2015
464,10,464,01/Jan/2015
465,10,465,18/Mar/2016
466,10,466,04/Feb/2015
467,10,467,05/Apr/2015
468,10,468,02/Jun/2015
469,10,469,22/Nov/2015
470,10,470,01/Jan/2015
471,10,471,01/Jan/2015
472,10,472,01/Jan/2015
473,10,473,01/Jan/2015
474,10,474,01/Jan/2015
475,10,475,01/Jan/2015
476,10,476,10/Nov/2015
477,10,477,01/Jan/2015
478,10,478,08/May/2016
479,10,479,01/Jan/2015
480,10,480,27/Jun/2015
481,10,481,01/May/2015
482,10,482,01/Jan/2015
483,10,483,23/Apr/2015
484,10,484,01/Jan/2015
485,10,485,24/Sep/2015
486,10,486,01/Jan/2015
487,10,487,10/Apr/2016
488,10,488,01/Jan/2015
489,10,489,01/Jan/2015
490,10,490,04/Mar/2015
491,10,491,09/Jul/2015
492,10,492,01/Jan/2015
493,10,493,01/Jan/2015
494,10,494,30/Jun/2015
495,10,495,16/Jun/2015
496,10,496,01/Jan/2015
497,10,497,06/Nov/2016
498,10,498,01/Jan/2015
499,10,499,01/Jan/2015
500,10,500,01/Jan/2015
501,10,501,28/Nov/2015
502,10,502,01/Jan/2015
503,10,503,22/Oct/2015
504,10,504,29/May/2015
505,10,505,01/Jan/2015
506,10,506,24/Aug/2016
507,10,507,01/Jan/2015
508,10,508,23/Feb/2015
509,10,509,02/May/2015
510,10,510,01/Jan/2015
511,10,511,01/Jan/2015
512,10,512,05/Nov/2015
513,10,513,22/Apr/2016
514,10,514,03/Apr/2015
515,10,515,01/Jan/2015
516,10,516,01/Jan/2015
517,10,517,29/Oct/2016
518,10,518,24/Dec/2015
519,10,519,01/Jan/2015
520,10,520,15/Jul/2016
521,10,521,01/Jan/2015
522,10,522,20/Feb/2015
523,10,523,29/Apr/2015
524,10,524,01/Jan/2015
525,10,525,01/Jan/2015
526,10,526,01/Jan/2015
527,10,527,25/May/2015
528,10,528,01/Jan/2015
529,10,529,01/Jan/2015
530,10,530,01/Jan/2015
531,10,531,20/Sep/2015
532,10,532,01/Jan/2015
533,10,533,01/Jan/2015
534,10,534,01/Jan/2015
535,10,535,18/Apr/2015
536,10,536,01/Jan/2015
537,10,537,01/Jan/2015
538,10,538,01/Jan/2015
539,10,539,04/Feb/2016
540,10,540,01/Jan/2015
541,10,541,24/Apr/2015
542,10,542,01/Jan/2015
543,10,543,01/Jan/2015
544,10,544,13/Nov/2015
545,10,545,06/Mar/2015
546,10,546,09/Sep/2015
547,10,547,01/Jan/2015
548,10,548,30/May/2015
549,10,549,21/Feb/2015
550,10,550,01/Jan/2015
551,10,551,15/Feb/2015
552,10,552,01/Jan/2015
553,10,553,01/Jan/2015
554,10,554,01/Jan/2015
555,10,555,12/Aug/2016
556,10,556,16/Aug/2015
557,10,557,01/Jan/2015
558,10,558,01/Jan/2015
559,10,559,01/Jan/2015
560,10,560,01/Jan/2015
561,10,561,01/Jan/2015
562,10,562,06/Jun/2015
563,10,563,01/Jan/2015
564,10,564,17/Jun/2015
565,10,565,10/Nov/2017
566,10,566,01/Jan/2015
567,10,567,17/Dec/2015
568,10,568,17/Apr/2015
569,10,569,01/Jan/2015
570,10,570,17/Jul/2015
571,10,571,01/Mar/2016
572,10,572,21/Aug/2015
573,10,573,01/Jan/2015
574,10,574,01/Jan/2015
575,10,575,01/Jan/2015
576,10,576,14/Jul/2015
577,10,577,29/Apr/2015
578,10,578,04/Nov/2015
579,10,579,03/Feb/2015
580,10,580,01/Jan/2015
581,10,581,03/Feb/2015
582,10,582,09/Jan/2015
583,10,583,01/Jan/2015
584,10,584,16/Oct/2015
585,10,585,01/Jan/2015
586,10,586,01/Jan/2015
587,10,587,28/May/2015
588,10,588,01/Jan/2015
589,10,589,03/Jan/2016
590,10,590,29/Jan/2015
591,10,591,11/Oct/2015
592,10,592,01/Jan/2015
593,10,593,18/Feb/2015
594,10,594,01/Jan/2015
595,10,595,01/Jan/2015
596,10,596,01/Jan/2015
597,10,597,01/Jan/2015
598,10,598,17/Aug/2015
599,10,599,01/Jan/2015
600,10,600,18/Jun/2016
601,10,601,01/Jan/2015
602,10,602,25/May/2016
603,10,603,01/Jan/2015
604,10,604,01/Jan/2015
605,10,605,08/Oct/2015
606,10,606,01/Jan/2015
607,10,607,22/Jun/2015
608,10,608,01/Jan/2015
609,10,609,01/Jan/2015
610,10,610,19/Aug/2015
611,10,611,01/Jan/2015
612,10,612,01/Mar/2015
613,10,613,30/Apr/2016
614,10,614,22/Jun/2015
615,10,615,19/Sep/2015
616,10,616,01/Jan/2015
617,10,617,07/Jul/2016
618,10,618,30/Jan/2016
619,10,619,13/Sep/2015
620,10,620,20/Mar/2015
621,10,621,20/Nov/2015
622,10,622,13/Jun/2016
623,10,623,24/Jun/2016
624,10,624,02/Jan/2016
625,10,625,01/Jan/2015
626,10,626,05/Feb/2015
627,10,627,14/Jul/2016
628,10,628,01/Jan/2015
629,10,629,24/Aug/2015
630,10,630,01/Jan/2015
631,10,631,01/Jan/2015
632,10,632,01/Jan/2015
633,10,633,01/Jan/2015
634,10,634,01/Jan/2015
635,10,635,01/Jan/2015
636,10,636,01/Jan/2015
637,10,637,31/Jul/2016
638,10,638,01/Jan/2015
639,10,639,25/Jan/2015
640,10,640,01/Jan/2015
641,10,641,11/May/2016
642,10,642,28/Feb/2015
643,10,643,01/Jan/2015
644,10,644,20/Jan/2016
645,10,645,10/Jun/2015
646,10,646,29/Aug/2015
647,10,647,01/Jan/2015
648,10,648,01/Jan/2015
649,10,649,18/Feb/2016
650,10,650,01/Jan/2015
651,10,651,01/Jan/2015
652,10,652,08/Jan/2016
653,10,653,01/Jan/2015
654,10,654,01/Jan/2015
655,10,655,01/Jan/2015
656,10,656,01/Jan/2015
657,10,657,01/Jan/2015
658,10,658,18/Nov/2015
659,10,659,05/Oct/2015
660,10,660,18/Jul/2015
661,10,661,09/Jul/2015
662,10,662,31/Jan/2016
663,10,663,05/Dec/2015
664,10,664,01/Jan/2015
665,10,665,01/Jan/2015
666,10,666,01/Jan/2015
667,10,667,01/Jan/2015
668,10,668,26/Jun/2015
669,10,669,01/Jan/2015
670,10,670,19/Jul/2016
671,10,671,18/Sep/2015
672,10,672,18/Aug/2015
673,10,673,01/Jan/2015
674,10,674,01/Jan/2015
675,10,675,06/Nov/2016
676,10,676,01/Jan/2015
677,10,677,05/Dec/2015
678,10,678,10/Jul/2015
